playlist_priority,playlist_id,playlist_title,playlist_processing_mode,playlist_position,video_id,video_title,canonical_video_url,is_duplicate,primary_playlist_id,primary_playlist_title,primary_transcript_path,metadata_status,caption_type,caption_language,caption_status,raw_segment_count,raw_word_count,cleaned_word_count,transcript_status,error_type,error_message,processed_at
1,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,Selected supplied videos,1,h95cQkEWBx0,Digital Marketing 101 (A Beginner’s Guide To Marketing),https://www.youtube.com/watch?v=h95cQkEWBx0,false,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,transcripts/adam-erhart/01-digital-marketing-strategies/01-digital-marketing-101-a-beginners-guide-to-marketing--h95cQkEWBx0.md,success,manual,en,success,486,3518,3518,complete,,,2026-07-24
1,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,Selected supplied videos,2,MAMUTGwYOcY,Top 2026 Marketing Strategies That Will Help Your Business Get Attention,https://www.youtube.com/watch?v=MAMUTGwYOcY,false,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,transcripts/adam-erhart/01-digital-marketing-strategies/02-top-2026-marketing-strategies-that-will-help-your-business-get-attention--MAMUTGwYOcY.md,success,manual,en,success,326,2413,2413,complete,,,2026-07-24
1,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,Selected supplied videos,3,NcgxgPCjFZc,Advertising 101 - How To Advertise For A Small Business,https://www.youtube.com/watch?v=NcgxgPCjFZc,false,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,transcripts/adam-erhart/01-digital-marketing-strategies/03-advertising-101-how-to-advertise-for-a-small-business--NcgxgPCjFZc.md,success,auto-generated,en,success,441,2580,2578,complete,,,2026-07-24
1,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,Selected supplied videos,4,LeIePgFDAQI,How To Identify Target Market | Target Market Examples,https://www.youtube.com/watch?v=LeIePgFDAQI,false,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,transcripts/adam-erhart/01-digital-marketing-strategies/04-how-to-identify-target-market-target-market-examples--LeIePgFDAQI.md,success,manual,en,success,204,2795,2795,complete,,,2026-07-24
1,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,Selected supplied videos,5,R1BOgBTzE1M,Digital Marketing Strategies For Small Business (... My TOP 20 Tips & Tricks),https://www.youtube.com/watch?v=R1BOgBTzE1M,false,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,transcripts/adam-erhart/01-digital-marketing-strategies/05-digital-marketing-strategies-for-small-business-my-top-20-tips-and-tricks--R1BOgBTzE1M.md,success,manual,en,success,786,6360,6360,complete,,,2026-07-24
1,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,Selected supplied videos,6,NvgJ2mPWHX8,What Is Digital Marketing? And How Does It Work?,https://www.youtube.com/watch?v=NvgJ2mPWHX8,false,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,transcripts/adam-erhart/01-digital-marketing-strategies/06-what-is-digital-marketing-and-how-does-it-work--NvgJ2mPWHX8.md,success,manual,en,success,161,2075,2075,complete,,,2026-07-24
1,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,Selected supplied videos,7,Z_KspIX1oXU,What Is Digital Marketing? And How Does It Work?,https://www.youtube.com/watch?v=Z_KspIX1oXU,false,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,transcripts/adam-erhart/01-digital-marketing-strategies/07-what-is-digital-marketing-and-how-does-it-work--Z_KspIX1oXU.md,success,auto-generated,en,success,89,530,530,complete,,,2026-07-24
2,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,Selected supplied videos,1,jcDuq5Prt6A,5 Digital Marketing Skills to Master for 2026 & Beyond,https://www.youtube.com/watch?v=jcDuq5Prt6A,false,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,transcripts/adam-erhart/02-learn-digital-marketing-skills/01-5-digital-marketing-skills-to-master-for-2026-and-beyond--jcDuq5Prt6A.md,success,manual,en,success,215,2940,2940,complete,,,2026-07-24
2,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,Selected supplied videos,2,8jJxQo7nGog,THE #1 SKILL TO MASTER FOR DIGITAL MARKETING | Adam Erhart,https://www.youtube.com/watch?v=8jJxQo7nGog,false,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,transcripts/adam-erhart/02-learn-digital-marketing-skills/02-the-1-skill-to-master-for-digital-marketing-adam-erhart--8jJxQo7nGog.md,success,unavailable,unknown,unavailable,0,0,0,unavailable,TranscriptsDisabled,"Could not retrieve a transcript for the video https://www.youtube.com/watch?v=8jJxQo7nGog! This is most likely caused by: Subtitles are disabled for this video If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make su",2026-07-24
2,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,Selected supplied videos,3,zArRjQ07CfU,12 Digital Marketing Tips To Help You Grow Your Business In 2026,https://www.youtube.com/watch?v=zArRjQ07CfU,false,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,transcripts/adam-erhart/02-learn-digital-marketing-skills/03-12-digital-marketing-tips-to-help-you-grow-your-business-in-2026--zArRjQ07CfU.md,success,auto-generated,en,success,491,3386,3386,complete,,,2026-07-24
